date,pm2.5,pm10,temp,humidity
2019.9.16 19:05,2,2,25.7,52.3
2019.9.16 19:05,2,2,25.8,52.3
2019.9.16 19:05,2,2,25.7,52.3
2019.9.16 19:05,2,2,25.7,52.3
2019.9.16 19:05,3,4,25.7,52.3
2019.9.16 19:05,3,4,25.7,52.3
2019.9.16 19:05,3,4,25.7,52.2
2019.9.16 19:05,3,4,25.7,52.2
2019.9.16 19:05,4,5,25.7,52.2
2019.9.16 19:06,4,5,25.7,52.1
2019.9.16 19:06,3,4,25.8,52.2
2019.9.16 19:06,3,4,25.7,52.1
2019.9.16 19:06,4,6,25.8,52.2
2019.9.16 19:06,4,6,25.8,52.2
2019.9.16 19:06,4,5,25.7,52.2
2019.9.16 19:06,4,5,25.8,52.3
2019.9.16 19:06,3,4,25.7,52.2
2019.9.16 19:06,3,4,25.7,52.2
2019.9.16 19:06,2,4,25.7,52.3
2019.9.16 19:06,2,4,25.8,52.3
2019.9.16 19:06,1,1,25.7,52.3
2019.9.16 19:07,1,1,25.7,52.3
2019.9.16 19:07,2,2,25.7,52.3
2019.9.16 19:07,2,2,25.7,52.3
2019.9.16 19:07,2,2,25.7,52.2
2019.9.16 19:07,2,2,25.7,52.2
2019.9.16 19:07,2,2,25.8,52.3
2019.9.16 19:07,2,2,25.7,52.2
2019.9.16 19:07,2,2,25.7,52.2
2019.9.16 19:07,2,2,25.7,52.1
2019.9.16 19:07,2,2,25.8,52.1
2019.9.16 19:07,2,2,25.7,52
2019.9.16 19:07,3,3,25.7,52
2019.9.16 19:08,3,3,25.7,52
2019.9.16 19:08,4,4,25.7,52
2019.9.16 19:08,4,4,25.8,52
2019.9.16 19:08,3,3,25.7,52
2019.9.16 19:08,3,3,25.8,52.1
2019.9.16 19:08,3,3,25.8,52.1
2019.9.16 19:08,3,3,25.8,52
2019.9.16 19:08,3,3,25.8,52
2019.9.16 19:08,3,3,25.8,52
2019.9.16 19:08,4,4,25.7,51.9
2019.9.16 19:08,4,4,25.8,52
2019.9.16 19:08,3,3,25.8,52
2019.9.16 19:09,3,3,25.8,52
2019.9.16 19:09,2,2,25.8,52
2019.9.16 19:09,2,2,25.8,52
2019.9.16 19:09,2,3,25.8,52.1
2019.9.16 19:09,2,3,25.8,52.1
2019.9.16 19:09,2,5,25.8,52.1
2019.9.16 19:09,2,5,25.8,52.2
2019.9.16 19:09,3,5,25.8,52.2
2019.9.16 19:09,3,5,25.8,52.2
2019.9.16 19:09,2,4,25.8,52.1
2019.9.16 19:09,2,4,25.8,52.2
2019.9.16 19:09,3,3,25.8,52.2
2019.9.16 19:10,3,3,25.8,52.2
2019.9.16 19:10,3,3,25.8,52.2
2019.9.16 19:10,3,3,25.8,52.2
2019.9.16 19:10,2,2,25.8,52.2
2019.9.16 19:10,2,2,25.8,52.2
2019.9.16 19:10,2,2,25.8,52.2
2019.9.16 19:10,2,2,25.8,52.2
2019.9.16 19:10,3,5,25.8,52.2
2019.9.16 19:10,3,5,25.8,52.2
2019.9.16 19:10,3,4,25.8,52.2
2019.9.16 19:10,3,4,25.8,52.2
