datetime,pm2.5,pm10,temperature,humidity
2020-12-11 21:09:45,23,27,24.2,28.8
2020-12-11 21:09:50,23,27,24.3,28.8
2020-12-11 21:09:55,24,25,24.2,28.8
2020-12-11 21:10:01,24,25,24.2,28.8
2020-12-11 21:10:06,28,34,24.2,28.8
2020-12-11 21:10:11,28,34,24.2,28.8
2020-12-11 21:10:17,29,31,24.2,28.8
2020-12-11 21:10:22,29,34,24.2,28.8
2020-12-11 21:10:28,27,30,24.2,28.8
2020-12-11 21:10:33,27,30,24.2,28.8
2020-12-11 21:10:39,23,26,24.2,28.8
2020-12-11 21:10:44,23,26,24.2,28.8
2020-12-11 21:10:49,22,28,24.2,28.8
2020-12-11 21:10:55,22,28,24.2,28.8
2020-12-11 21:11:00,25,35,24.1,28.8
2020-12-11 21:11:05,25,35,24.2,28.8
2020-12-11 21:11:11,25,31,24.2,28.8
2020-12-11 21:11:16,25,31,24.2,28.8
2020-12-11 21:11:21,25,30,24.1,28.8
2020-12-11 21:11:27,25,30,24.2,28.8
2020-12-11 21:11:32,23,28,24.1,28.8
2020-12-11 21:11:37,23,28,24.2,28.8
2020-12-11 21:11:43,21,23,24.1,28.8
2020-12-11 21:11:48,21,23,24.1,28.8
2020-12-11 21:11:53,24,26,24.2,28.9
2020-12-11 21:11:59,24,26,24.1,28.8
2020-12-11 21:12:04,24,27,24.1,28.8
2020-12-11 21:12:09,24,27,24.1,28.8
2020-12-11 21:12:15,29,36,24.1,28.8
2020-12-11 21:12:20,29,36,24.1,28.8
2020-12-11 21:12:26,29,39,24.2,28.9
2020-12-11 21:12:31,29,39,24.1,28.8
2020-12-11 21:12:36,27,37,24.1,28.8
2020-12-11 21:12:42,27,38,24.1,28.8
2020-12-11 21:12:47,29,34,24.1,28.8
2020-12-11 21:12:53,28,32,24.1,28.8
2020-12-11 21:12:58,31,36,24.1,28.9
2020-12-11 21:13:03,32,41,24.1,28.9
2020-12-11 21:13:09,26,32,24.1,28.9
2020-12-11 21:13:14,26,32,24.1,28.8
2020-12-11 21:13:20,25,30,24.1,28.8
2020-12-11 21:13:25,25,31,24.1,28.8
2020-12-11 21:13:31,26,30,24.1,28.8
2020-12-11 21:13:36,26,30,24.1,28.8
2020-12-11 21:13:41,25,32,24.1,28.8
2020-12-11 21:13:47,25,32,24.1,28.9
2020-12-11 21:13:52,28,34,24.1,28.9
2020-12-11 21:13:57,28,34,24.1,28.9
2020-12-11 21:14:03,26,31,24.1,28.8
2020-12-11 21:14:08,26,31,24.1,28.9
2020-12-11 21:14:13,26,30,24.1,28.9
2020-12-11 21:14:19,26,30,24.1,28.8
2020-12-11 21:14:24,24,32,24.1,28.9
2020-12-11 21:14:29,24,32,24.1,28.9
2020-12-11 21:14:35,21,26,24.1,28.9
2020-12-11 21:14:40,23,28,24.1,28.9
2020-12-11 21:14:46,25,29,24.0,28.9
2020-12-11 21:14:51,25,29,24.1,28.9
2020-12-11 21:14:56,23,28,24.1,28.9
2020-12-11 21:15:02,23,28,24.1,28.9
2020-12-11 21:15:07,21,24,24.1,28.9
2020-12-11 21:15:12,21,24,24.1,28.9
2020-12-11 21:15:18,24,29,24.0,28.8
2020-12-11 21:15:23,24,30,24.1,28.9
2020-12-11 21:15:29,25,32,24.0,28.8
2020-12-11 21:15:34,24,31,24.0,28.8
2020-12-11 21:15:39,27,34,24.0,28.9
2020-12-11 21:15:45,27,34,24.0,28.9
2020-12-11 21:15:50,25,28,24.0,28.9
2020-12-11 21:15:55,25,28,24.0,28.8
2020-12-11 21:16:01,26,33,24.0,28.9
2020-12-11 21:16:06,26,33,24.0,28.9
2020-12-11 21:16:11,27,41,24.0,28.8
2020-12-11 21:16:17,27,41,24.0,28.9
2020-12-11 21:16:22,26,35,24.0,28.9
2020-12-11 21:16:27,26,35,24.0,28.9
2020-12-11 21:16:33,24,25,24.0,28.8
2020-12-11 21:16:38,24,25,24.0,28.9
2020-12-11 21:16:43,25,28,24.0,28.9
2020-12-11 21:16:49,25,27,24.0,28.9
2020-12-11 21:16:54,27,31,24.0,28.9
2020-12-11 21:16:59,27,31,24.0,28.9
2020-12-11 21:17:05,26,26,24.0,28.9
2020-12-11 21:17:10,25,25,24.0,28.9
2020-12-11 21:17:16,28,30,24.0,28.9
2020-12-11 21:17:21,28,30,24.0,28.9
2020-12-11 21:17:27,29,32,24.0,28.9
2020-12-11 21:17:32,30,35,24.0,28.9
2020-12-11 21:17:38,29,34,24.0,28.9
2020-12-11 21:17:43,29,34,24.0,28.9
2020-12-11 21:17:49,31,39,24.0,28.9
2020-12-11 21:17:54,32,42,24.0,28.9
2020-12-11 21:18:00,27,32,24.0,28.9
2020-12-11 21:18:05,27,32,24.0,28.9
2020-12-11 21:18:11,25,32,24.0,28.9
2020-12-11 21:18:16,25,32,24.0,28.9
2020-12-11 21:18:21,22,27,23.9,28.9
2020-12-11 21:18:27,22,28,23.9,28.9
2020-12-11 21:18:32,22,30,24.0,28.9
2020-12-11 21:18:37,22,30,23.9,28.8
2020-12-11 21:18:43,22,33,24.0,28.9
2020-12-11 21:18:48,22,33,23.9,28.8
2020-12-11 21:18:53,23,28,23.9,28.9
2020-12-11 21:18:59,23,28,23.9,28.9
2020-12-11 21:19:04,27,36,23.9,28.9
2020-12-11 21:19:09,26,36,23.9,28.9
2020-12-11 21:19:15,30,36,23.9,28.9
2020-12-11 21:19:20,30,36,23.9,28.8
2020-12-11 21:19:26,25,29,23.9,28.8
2020-12-11 21:19:31,25,29,23.9,28.9
2020-12-11 21:19:37,27,31,23.9,28.9
2020-12-11 21:19:42,28,32,23.9,28.8
2020-12-11 21:19:47,28,32,23.9,28.8
2020-12-11 21:19:53,28,32,23.9,28.9
2020-12-11 21:19:58,30,36,23.9,28.9
2020-12-11 21:20:04,29,34,23.9,28.9
2020-12-11 21:20:09,26,39,23.9,28.9
2020-12-11 21:20:15,25,38,23.9,28.9
2020-12-11 21:20:20,23,32,23.9,28.9
2020-12-11 21:20:25,23,32,23.9,28.9
2020-12-11 21:20:31,22,28,23.9,28.9
2020-12-11 21:20:36,22,28,23.9,28.9
2020-12-11 21:20:41,25,30,23.9,28.9
2020-12-11 21:20:47,25,29,23.9,28.9
2020-12-11 21:20:52,25,33,23.9,28.9
2020-12-11 21:20:58,25,33,23.8,28.8
2020-12-11 21:21:03,23,24,23.9,28.9
2020-12-11 21:21:08,23,24,23.9,28.9
2020-12-11 21:21:14,25,32,23.9,28.9
2020-12-11 21:21:19,25,32,23.9,28.9
2020-12-11 21:21:24,29,37,23.9,28.9
2020-12-11 21:21:30,29,37,23.9,28.9
2020-12-11 21:21:35,24,27,23.9,28.9
2020-12-11 21:21:40,24,27,23.9,28.9
2020-12-11 21:21:46,25,32,23.9,28.9
2020-12-11 21:21:51,25,32,23.9,28.9
2020-12-11 21:21:56,23,31,23.9,28.9
2020-12-11 21:22:02,23,31,23.9,28.9
2020-12-11 21:22:07,24,32,23.9,28.9
2020-12-11 21:22:12,24,32,23.9,28.9
2020-12-11 21:22:18,24,25,23.9,28.9
2020-12-11 21:22:23,24,25,23.9,28.9
2020-12-11 21:22:29,27,31,23.9,28.9
2020-12-11 21:22:34,28,31,23.9,28.9
2020-12-11 21:22:39,23,29,23.8,28.9
2020-12-11 21:22:45,23,29,23.9,28.9
2020-12-11 21:22:50,22,25,23.9,28.9
2020-12-11 21:22:55,25,28,23.8,28.9
2020-12-11 21:23:01,28,39,23.8,28.9
2020-12-11 21:23:07,28,39,23.9,28.9
2020-12-11 21:23:12,26,34,23.8,28.9
2020-12-11 21:23:17,26,34,23.9,28.9
2020-12-11 21:23:23,25,30,23.8,28.9
2020-12-11 21:23:28,27,33,23.8,28.9
2020-12-11 21:23:34,27,35,23.8,28.9
2020-12-11 21:23:39,27,35,23.8,28.9
2020-12-11 21:23:44,23,28,23.8,28.9
2020-12-11 21:23:50,23,28,23.8,28.9
2020-12-11 21:23:55,25,26,23.8,28.9
2020-12-11 21:24:00,25,26,23.8,28.9
2020-12-11 21:24:06,26,27,23.8,28.9
2020-12-11 21:24:11,26,27,23.8,28.9
2020-12-11 21:24:16,27,30,23.8,28.9
2020-12-11 21:24:22,28,31,23.8,28.9
2020-12-11 21:24:27,25,29,23.8,28.9
2020-12-11 21:24:32,25,29,23.8,28.9
2020-12-11 21:24:38,22,23,23.8,28.9
2020-12-11 21:24:43,22,23,23.8,28.9
2020-12-11 21:24:49,29,44,23.8,28.9
2020-12-11 21:24:54,28,43,23.8,28.9
2020-12-11 21:24:59,25,30,23.8,28.9
2020-12-11 21:25:05,25,30,23.8,28.9
2020-12-11 21:25:10,24,26,23.8,28.9
2020-12-11 21:25:15,24,27,23.8,28.9
